Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of Ownership,Industry,Sector,Revenue,Competitors
Sales Manager,$136000 - $92000,Develop and maintain software systems,4.4,Code Masters,"Austin, TX","Austin, TX","500-1,000",2001,Public,Software,Technology,$300M,"DevSoft, CodeTech"
Data Analyst,$191000 - $139000,Lead and manage projects to successful completion,4.8,Project Leads,"Denver, CO","Denver, CO","500-1,000",1997,Private,Retail,Services,$300M,"TeamPro, ProjectSolutions"
Financial Analyst,$95000 - $80000,Analyze business processes and provide solutions,4.7,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",1993,Public,Technology,Professional Services,$400M,"ConsultMaster, BizExperts"
Data Analyst,$185000 - $151000,Oversee product development from ideation to launch,4.5,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",2000,Public,Consulting,Consumer Goods,$1B+,"InnovationHub, MarketPro"
Operations Manager,$83000 - $200000,Biology expert to teach students,3.5,bio,"Miami, FL","Miami, FL",200-500,2006,Private,Consulting,Services,$15M,"Chaithanya,narayana"
Operations Manager,$113000 - $234000,Biology expert to teach students,4.8,bio,"Miami, FL","Miami, FL",200-500,1985,Private,Technology,Services,$15M,"Chaithanya,narayana"
Software Engineer,$106000 - $163000,Prepare and manage financial records and reports,4.8,Finance Corp,"Atlanta, GA","Atlanta, GA",200-500,2011,Public,Finance,Financial,$100M,"Accounting Solutions, TaxPro"
UX Designer,$125000 - $225000,Conduct financial analysis to support decision making,3.4,Finance Pros,"Boston, MA","Boston, MA","1,000-5,000",2019,Public,Technology,Financial,$500M,"MoneyWorks, CapitalInsights"
Software Engineer,$189000 - $170000,Biology expert to teach students,3.2,bio,"Miami, FL","Miami, FL",200-500,1985,Private,Marketing,Services,$15M,"Chaithanya,narayana"
Project Manager,$176000 - $114000,Oversee product development from ideation to launch,3.1,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",2022,Public,Finance,Consumer Goods,$1B+,"InnovationHub, MarketPro"
Data Analyst,$193000 - $245000,Lead marketing campaigns and strategies,3.9,Market Leaders,"Chicago, IL","Chicago, IL",200-500,1998,Private,Education,Services,$100M,"AdFocus, BrandBoost"
Product Manager,$54000 - $128000,Analyze business processes and provide solutions,4.0,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",2016,Public,Health,Professional Services,$400M,"ConsultMaster, BizExperts"
Project Manager,$50000 - $121000,Lead marketing campaigns and strategies,4.3,Market Leaders,"Chicago, IL","Chicago, IL",200-500,2019,Private,Technology,Services,$100M,"AdFocus, BrandBoost"
Project Manager,$71000 - $182000,Analyze business processes and provide solutions,3.3,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",1992,Public,Education,Professional Services,$400M,"ConsultMaster, BizExperts"
Financial Analyst,$105000 - $244000,Lead and manage projects to successful completion,4.6,Project Leads,"Denver, CO","Denver, CO","500-1,000",2021,Private,Finance,Services,$300M,"TeamPro, ProjectSolutions"
Sales Manager,$102000 - $171000,Biology expert to teach students,4.6,bio,"Miami, FL","Miami, FL",200-500,1989,Private,Retail,Services,$15M,"Chaithanya,narayana"
Project Manager,$62000 - $90000,Biology expert to teach students,3.9,bio,"Miami, FL","Miami, FL",200-500,2003,Private,Technology,Services,$15M,"Chaithanya,narayana"
Financial Analyst,$77000 - $104000,Lead and manage projects to successful completion,4.0,Project Leads,"Denver, CO","Denver, CO","500-1,000",2007,Private,Consulting,Services,$300M,"TeamPro, ProjectSolutions"
Software Engineer,$60000 - $225000,Analyze and interpret complex data using ML techniques,3.7,Tech Innovators,"New York, NY","San Francisco, CA","1,000-5,000",1986,Private,Technology,IT,$500M,"DataWorld, Insight Global"
Operations Manager,$158000 - $194000,Lead and manage projects to successful completion,4.8,Project Leads,"Denver, CO","Denver, CO","500-1,000",1990,Private,Finance,Services,$300M,"TeamPro, ProjectSolutions"
Marketing Manager,$107000 - $194000,Conduct financial analysis to support decision making,4.9,Finance Pros,"Boston, MA","Boston, MA","1,000-5,000",2018,Public,Health,Financial,$500M,"MoneyWorks, CapitalInsights"
Software Engineer,$123000 - $131000,Develop and maintain software systems,4.6,Code Masters,"Austin, TX","Austin, TX","500-1,000",1976,Public,Technology,Technology,$300M,"DevSoft, CodeTech"
Sales Manager,$167000 - $212000,Biology expert to teach students,3.7,bio,"Miami, FL","Miami, FL",200-500,2015,Private,Retail,Services,$15M,"Chaithanya,narayana"
Data Scientist,$149000 - $203000,Manage human resources and employee relations,3.4,People Solutions,"Miami, FL","Miami, FL",200-500,1970,Private,Finance,Services,$150M,"Workplace Solutions, HR Hub"
Operations Manager,$138000 - $94000,Lead marketing campaigns and strategies,4.9,Market Leaders,"Chicago, IL","Chicago, IL",200-500,1977,Private,Technology,Services,$100M,"AdFocus, BrandBoost"
UX Designer,$132000 - $121000,Analyze business processes and provide solutions,3.1,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",1993,Public,Education,Professional Services,$400M,"ConsultMaster, BizExperts"
Marketing Manager,$161000 - $142000,Biology expert to teach students,4.0,bio,"Miami, FL","Miami, FL",200-500,1997,Private,Finance,Services,$15M,"Chaithanya,narayana"
Sales Manager,$97000 - $101000,Biology expert to teach students,4.5,bio,"Miami, FL","Miami, FL",200-500,1974,Private,Technology,Services,$15M,"Chaithanya,narayana"
Data Analyst,$98000 - $96000,Biology expert to teach students,3.7,bio,"Miami, FL","Miami, FL",200-500,2020,Private,Education,Services,$15M,"Chaithanya,narayana"
Sales Manager,$111000 - $191000,Lead and manage projects to successful completion,5.0,Project Leads,"Denver, CO","Denver, CO","500-1,000",2003,Private,Technology,Services,$300M,"TeamPro, ProjectSolutions"
Product Manager,$73000 - $158000,Biology expert to teach students,4.3,bio,"Miami, FL","Miami, FL",200-500,2015,Private,Technology,Services,$15M,"Chaithanya,narayana"
Data Analyst,$199000 - $119000,Analyze business processes and provide solutions,3.9,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",1978,Public,Finance,Professional Services,$400M,"ConsultMaster, BizExperts"
Operations Manager,$192000 - $126000,Biology expert to teach students,3.4,bio,"Miami, FL","Miami, FL",200-500,1982,Private,Marketing,Services,$15M,"Chaithanya,narayana"
Software Engineer,$61000 - $95000,Develop and maintain software systems,3.1,Code Masters,"Austin, TX","Austin, TX","500-1,000",1981,Public,Software,Technology,$300M,"DevSoft, CodeTech"
Marketing Manager,$169000 - $101000,Biology expert to teach students,4.8,bio,"Miami, FL","Miami, FL",200-500,1998,Private,Finance,Services,$15M,"Chaithanya,narayana"
Data Scientist,$193000 - $203000,Develop and maintain software systems,4.1,Code Masters,"Austin, TX","Austin, TX","500-1,000",1994,Public,Marketing,Technology,$300M,"DevSoft, CodeTech"
Financial Analyst,$129000 - $209000,Prepare and manage financial records and reports,3.0,Finance Corp,"Atlanta, GA","Atlanta, GA",200-500,2020,Public,Marketing,Financial,$100M,"Accounting Solutions, TaxPro"
Software Engineer,$107000 - $127000,Biology expert to teach students,4.1,bio,"Miami, FL","Miami, FL",200-500,1994,Private,Retail,Services,$15M,"Chaithanya,narayana"
Operations Manager,$111000 - $245000,Manage human resources and employee relations,4.6,People Solutions,"Miami, FL","Miami, FL",200-500,2019,Private,Finance,Services,$150M,"Workplace Solutions, HR Hub"
Product Manager,$100000 - $215000,Lead marketing campaigns and strategies,3.4,Market Leaders,"Chicago, IL","Chicago, IL",200-500,2001,Private,Education,Services,$100M,"AdFocus, BrandBoost"
Operations Manager,$57000 - $236000,Conduct financial analysis to support decision making,3.9,Finance Pros,"Boston, MA","Boston, MA","1,000-5,000",2012,Public,Software,Financial,$500M,"MoneyWorks, CapitalInsights"
Operations Manager,$146000 - $215000,Design user interfaces and improve user experiences,3.2,Creative Minds,"Los Angeles, CA","Los Angeles, CA","500-1,000",2009,Private,Education,Creative,$250M,"UserFlow, ExperienceHub"
Marketing Manager,$154000 - $229000,Design user interfaces and improve user experiences,5.0,Creative Minds,"Los Angeles, CA","Los Angeles, CA","500-1,000",2012,Private,Health,Creative,$250M,"UserFlow, ExperienceHub"
Marketing Manager,$51000 - $146000,Develop and maintain software systems,4.1,Code Masters,"Austin, TX","Austin, TX","500-1,000",1986,Public,Retail,Technology,$300M,"DevSoft, CodeTech"
Marketing Manager,$63000 - $247000,Analyze business processes and provide solutions,4.6,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",1978,Public,Finance,Professional Services,$400M,"ConsultMaster, BizExperts"
Project Manager,$79000 - $82000,Lead marketing campaigns and strategies,3.7,Market Leaders,"Chicago, IL","Chicago, IL",200-500,2006,Private,Consulting,Services,$100M,"AdFocus, BrandBoost"
Data Analyst,$166000 - $173000,Design user interfaces and improve user experiences,4.7,Creative Minds,"Los Angeles, CA","Los Angeles, CA","500-1,000",1975,Private,Marketing,Creative,$250M,"UserFlow, ExperienceHub"
Marketing Manager,$161000 - $238000,Manage human resources and employee relations,3.6,People Solutions,"Miami, FL","Miami, FL",200-500,1996,Private,Finance,Services,$150M,"Workplace Solutions, HR Hub"
Data Scientist,$112000 - $229000,Analyze and interpret complex data using ML techniques,3.3,Tech Innovators,"New York, NY","San Francisco, CA","1,000-5,000",1986,Private,Finance,IT,$500M,"DataWorld, Insight Global"
Sales Manager,$82000 - $225000,Conduct financial analysis to support decision making,3.3,Finance Pros,"Boston, MA","Boston, MA","1,000-5,000",1995,Public,Marketing,Financial,$500M,"MoneyWorks, CapitalInsights"
Data Analyst,$129000 - $230000,Conduct financial analysis to support decision making,3.3,Finance Pros,"Boston, MA","Boston, MA","1,000-5,000",1985,Public,Software,Financial,$500M,"MoneyWorks, CapitalInsights"
Data Scientist,$74000 - $152000,Develop and maintain software systems,4.5,Code Masters,"Austin, TX","Austin, TX","500-1,000",1972,Public,Finance,Technology,$300M,"DevSoft, CodeTech"
Software Engineer,$177000 - $212000,Manage human resources and employee relations,4.1,People Solutions,"Miami, FL","Miami, FL",200-500,1976,Private,Retail,Services,$150M,"Workplace Solutions, HR Hub"
Product Manager,$124000 - $237000,Design user interfaces and improve user experiences,4.7,Creative Minds,"Los Angeles, CA","Los Angeles, CA","500-1,000",1978,Private,Consulting,Creative,$250M,"UserFlow, ExperienceHub"
Data Scientist,$177000 - $135000,Biology expert to teach students,4.5,bio,"Miami, FL","Miami, FL",200-500,1985,Private,Software,Services,$15M,"Chaithanya,narayana"
Financial Analyst,$121000 - $81000,Analyze and interpret complex data using ML techniques,4.9,Tech Innovators,"New York, NY","San Francisco, CA","1,000-5,000",1989,Private,Consulting,IT,$500M,"DataWorld, Insight Global"
Product Manager,$123000 - $122000,Lead and manage projects to successful completion,4.5,Project Leads,"Denver, CO","Denver, CO","500-1,000",2007,Private,Software,Services,$300M,"TeamPro, ProjectSolutions"
Marketing Manager,$122000 - $214000,Conduct financial analysis to support decision making,3.6,Finance Pros,"Boston, MA","Boston, MA","1,000-5,000",1971,Public,Health,Financial,$500M,"MoneyWorks, CapitalInsights"
UX Designer,$86000 - $173000,Lead and manage projects to successful completion,4.4,Project Leads,"Denver, CO","Denver, CO","500-1,000",2016,Private,Finance,Services,$300M,"TeamPro, ProjectSolutions"
Software Engineer,$180000 - $86000,Biology expert to teach students,4.5,bio,"Miami, FL","Miami, FL",200-500,2001,Private,Marketing,Services,$15M,"Chaithanya,narayana"
Sales Manager,$147000 - $236000,Analyze and interpret complex data using ML techniques,4.0,Tech Innovators,"New York, NY","San Francisco, CA","1,000-5,000",2008,Private,Marketing,IT,$500M,"DataWorld, Insight Global"
Financial Analyst,$81000 - $171000,Biology expert to teach students,4.8,bio,"Miami, FL","Miami, FL",200-500,2004,Private,Consulting,Services,$15M,"Chaithanya,narayana"
Financial Analyst,$146000 - $80000,Analyze business processes and provide solutions,4.7,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",2018,Public,Marketing,Professional Services,$400M,"ConsultMaster, BizExperts"
Operations Manager,$66000 - $100000,Analyze business processes and provide solutions,4.0,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",1998,Public,Software,Professional Services,$400M,"ConsultMaster, BizExperts"
Data Analyst,$118000 - $153000,Biology expert to teach students,3.1,bio,"Miami, FL","Miami, FL",200-500,1988,Private,Consulting,Services,$15M,"Chaithanya,narayana"
UX Designer,$87000 - $177000,Analyze business processes and provide solutions,4.3,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",1971,Public,Education,Professional Services,$400M,"ConsultMaster, BizExperts"
Operations Manager,$80000 - $108000,Analyze business processes and provide solutions,3.5,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",2004,Public,Health,Professional Services,$400M,"ConsultMaster, BizExperts"
Software Engineer,$80000 - $89000,Analyze and interpret complex data using ML techniques,4.4,Tech Innovators,"New York, NY","San Francisco, CA","1,000-5,000",1989,Private,Technology,IT,$500M,"DataWorld, Insight Global"
UX Designer,$59000 - $204000,Oversee product development from ideation to launch,3.6,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",1995,Public,Health,Consumer Goods,$1B+,"InnovationHub, MarketPro"
Marketing Manager,$186000 - $235000,Design user interfaces and improve user experiences,4.4,Creative Minds,"Los Angeles, CA","Los Angeles, CA","500-1,000",2002,Private,Retail,Creative,$250M,"UserFlow, ExperienceHub"
Project Manager,$180000 - $137000,Biology expert to teach students,4.4,bio,"Miami, FL","Miami, FL",200-500,1997,Private,Technology,Services,$15M,"Chaithanya,narayana"
Data Scientist,$96000 - $105000,Design user interfaces and improve user experiences,3.8,Creative Minds,"Los Angeles, CA","Los Angeles, CA","500-1,000",1995,Private,Technology,Creative,$250M,"UserFlow, ExperienceHub"
Data Scientist,$177000 - $214000,Lead marketing campaigns and strategies,4.1,Market Leaders,"Chicago, IL","Chicago, IL",200-500,1970,Private,Health,Services,$100M,"AdFocus, BrandBoost"
Project Manager,$164000 - $149000,Analyze business processes and provide solutions,3.4,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",1994,Public,Finance,Professional Services,$400M,"ConsultMaster, BizExperts"
Sales Manager,$142000 - $220000,Conduct financial analysis to support decision making,3.6,Finance Pros,"Boston, MA","Boston, MA","1,000-5,000",2018,Public,Consulting,Financial,$500M,"MoneyWorks, CapitalInsights"
Data Analyst,$87000 - $224000,Prepare and manage financial records and reports,3.1,Finance Corp,"Atlanta, GA","Atlanta, GA",200-500,2012,Public,Retail,Financial,$100M,"Accounting Solutions, TaxPro"
Marketing Manager,$100000 - $90000,Prepare and manage financial records and reports,4.5,Finance Corp,"Atlanta, GA","Atlanta, GA",200-500,1999,Public,Finance,Financial,$100M,"Accounting Solutions, TaxPro"
Marketing Manager,$63000 - $242000,Prepare and manage financial records and reports,3.1,Finance Corp,"Atlanta, GA","Atlanta, GA",200-500,1994,Public,Retail,Financial,$100M,"Accounting Solutions, TaxPro"
Marketing Manager,$83000 - $128000,Design user interfaces and improve user experiences,4.5,Creative Minds,"Los Angeles, CA","Los Angeles, CA","500-1,000",1988,Private,Education,Creative,$250M,"UserFlow, ExperienceHub"
Project Manager,$127000 - $89000,Analyze and interpret complex data using ML techniques,4.2,Tech Innovators,"New York, NY","San Francisco, CA","1,000-5,000",1993,Private,Health,IT,$500M,"DataWorld, Insight Global"
Product Manager,$184000 - $89000,Analyze and interpret complex data using ML techniques,3.0,Tech Innovators,"New York, NY","San Francisco, CA","1,000-5,000",1989,Private,Technology,IT,$500M,"DataWorld, Insight Global"
UX Designer,$106000 - $182000,Biology expert to teach students,3.9,bio,"Miami, FL","Miami, FL",200-500,1989,Private,Finance,Services,$15M,"Chaithanya,narayana"
Project Manager,$121000 - $214000,Analyze business processes and provide solutions,3.6,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",1981,Public,Education,Professional Services,$400M,"ConsultMaster, BizExperts"
Operations Manager,$50000 - $134000,Biology expert to teach students,3.1,bio,"Miami, FL","Miami, FL",200-500,2014,Private,Retail,Services,$15M,"Chaithanya,narayana"
Financial Analyst,$152000 - $130000,Prepare and manage financial records and reports,3.0,Finance Corp,"Atlanta, GA","Atlanta, GA",200-500,1999,Public,Consulting,Financial,$100M,"Accounting Solutions, TaxPro"
Product Manager,$186000 - $156000,Biology expert to teach students,3.1,bio,"Miami, FL","Miami, FL",200-500,1982,Private,Software,Services,$15M,"Chaithanya,narayana"
Project Manager,$181000 - $208000,Lead marketing campaigns and strategies,4.6,Market Leaders,"Chicago, IL","Chicago, IL",200-500,1992,Private,Software,Services,$100M,"AdFocus, BrandBoost"
Marketing Manager,$128000 - $245000,Biology expert to teach students,4.1,bio,"Miami, FL","Miami, FL",200-500,2022,Private,Technology,Services,$15M,"Chaithanya,narayana"
Data Scientist,$121000 - $193000,Lead marketing campaigns and strategies,3.2,Market Leaders,"Chicago, IL","Chicago, IL",200-500,1980,Private,Marketing,Services,$100M,"AdFocus, BrandBoost"
UX Designer,$106000 - $140000,Prepare and manage financial records and reports,3.9,Finance Corp,"Atlanta, GA","Atlanta, GA",200-500,2005,Public,Consulting,Financial,$100M,"Accounting Solutions, TaxPro"
Product Manager,$101000 - $194000,Manage human resources and employee relations,4.6,People Solutions,"Miami, FL","Miami, FL",200-500,2021,Private,Marketing,Services,$150M,"Workplace Solutions, HR Hub"
UX Designer,$140000 - $185000,Analyze business processes and provide solutions,4.5,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",2004,Public,Marketing,Professional Services,$400M,"ConsultMaster, BizExperts"
Data Analyst,$103000 - $224000,Oversee product development from ideation to launch,3.3,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",2017,Public,Marketing,Consumer Goods,$1B+,"InnovationHub, MarketPro"
Product Manager,$133000 - $241000,Analyze and interpret complex data using ML techniques,4.0,Tech Innovators,"New York, NY","San Francisco, CA","1,000-5,000",2000,Private,Technology,IT,$500M,"DataWorld, Insight Global"
Data Scientist,$139000 - $219000,Design user interfaces and improve user experiences,4.8,Creative Minds,"Los Angeles, CA","Los Angeles, CA","500-1,000",2003,Private,Health,Creative,$250M,"UserFlow, ExperienceHub"
Data Analyst,$104000 - $139000,Oversee product development from ideation to launch,4.0,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",1971,Public,Education,Consumer Goods,$1B+,"InnovationHub, MarketPro"
UX Designer,$61000 - $183000,Prepare and manage financial records and reports,4.3,Finance Corp,"Atlanta, GA","Atlanta, GA",200-500,2003,Public,Health,Financial,$100M,"Accounting Solutions, TaxPro"
Software Engineer,$62000 - $92000,Lead marketing campaigns and strategies,3.6,Market Leaders,"Chicago, IL","Chicago, IL",200-500,1985,Private,Education,Services,$100M,"AdFocus, BrandBoost"
Financial Analyst,$135000 - $127000,Biology expert to teach students,3.2,bio,"Miami, FL","Miami, FL",200-500,1990,Private,Consulting,Services,$15M,"Chaithanya,narayana"
Marketing Manager,$181000 - $131000,Design user interfaces and improve user experiences,3.4,Creative Minds,"Los Angeles, CA","Los Angeles, CA","500-1,000",1981,Private,Finance,Creative,$250M,"UserFlow, ExperienceHub"
Software Engineer,$189000 - $218000,Lead and manage projects to successful completion,3.2,Project Leads,"Denver, CO","Denver, CO","500-1,000",2011,Private,Consulting,Services,$300M,"TeamPro, ProjectSolutions"
Product Manager,$67000 - $223000,Biology expert to teach students,4.2,bio,"Miami, FL","Miami, FL",200-500,1983,Private,Consulting,Services,$15M,"Chaithanya,narayana"
Software Engineer,$63000 - $88000,Manage human resources and employee relations,4.8,People Solutions,"Miami, FL","Miami, FL",200-500,2015,Private,Consulting,Services,$150M,"Workplace Solutions, HR Hub"
Data Scientist,$168000 - $162000,Design user interfaces and improve user experiences,3.5,Creative Minds,"Los Angeles, CA","Los Angeles, CA","500-1,000",1971,Private,Finance,Creative,$250M,"UserFlow, ExperienceHub"
Operations Manager,$91000 - $117000,Biology expert to teach students,4.3,bio,"Miami, FL","Miami, FL",200-500,2001,Private,Consulting,Services,$15M,"Chaithanya,narayana"
Product Manager,$63000 - $86000,Design user interfaces and improve user experiences,3.6,Creative Minds,"Los Angeles, CA","Los Angeles, CA","500-1,000",2014,Private,Education,Creative,$250M,"UserFlow, ExperienceHub"
Sales Manager,$108000 - $218000,Lead marketing campaigns and strategies,4.5,Market Leaders,"Chicago, IL","Chicago, IL",200-500,1997,Private,Health,Services,$100M,"AdFocus, BrandBoost"
Data Analyst,$167000 - $134000,Develop and maintain software systems,3.4,Code Masters,"Austin, TX","Austin, TX","500-1,000",2000,Public,Software,Technology,$300M,"DevSoft, CodeTech"
Sales Manager,$186000 - $134000,Manage human resources and employee relations,3.5,People Solutions,"Miami, FL","Miami, FL",200-500,2016,Private,Retail,Services,$150M,"Workplace Solutions, HR Hub"
Product Manager,$137000 - $217000,Analyze business processes and provide solutions,4.6,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",1993,Public,Consulting,Professional Services,$400M,"ConsultMaster, BizExperts"
Financial Analyst,$68000 - $208000,Oversee product development from ideation to launch,3.9,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",1975,Public,Technology,Consumer Goods,$1B+,"InnovationHub, MarketPro"
Marketing Manager,$79000 - $199000,Analyze business processes and provide solutions,3.1,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",1998,Public,Retail,Professional Services,$400M,"ConsultMaster, BizExperts"
UX Designer,$79000 - $156000,Lead and manage projects to successful completion,3.5,Project Leads,"Denver, CO","Denver, CO","500-1,000",2009,Private,Consulting,Services,$300M,"TeamPro, ProjectSolutions"
Marketing Manager,$140000 - $214000,Design user interfaces and improve user experiences,4.9,Creative Minds,"Los Angeles, CA","Los Angeles, CA","500-1,000",1997,Private,Health,Creative,$250M,"UserFlow, ExperienceHub"
Data Analyst,$158000 - $146000,Analyze and interpret complex data using ML techniques,3.2,Tech Innovators,"New York, NY","San Francisco, CA","1,000-5,000",2003,Private,Software,IT,$500M,"DataWorld, Insight Global"
Software Engineer,$129000 - $197000,Prepare and manage financial records and reports,4.7,Finance Corp,"Atlanta, GA","Atlanta, GA",200-500,2006,Public,Software,Financial,$100M,"Accounting Solutions, TaxPro"
Sales Manager,$192000 - $231000,Prepare and manage financial records and reports,4.9,Finance Corp,"Atlanta, GA","Atlanta, GA",200-500,1996,Public,Finance,Financial,$100M,"Accounting Solutions, TaxPro"
Software Engineer,$176000 - $219000,Analyze business processes and provide solutions,3.1,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",2019,Public,Software,Professional Services,$400M,"ConsultMaster, BizExperts"
Product Manager,$125000 - $246000,Develop and maintain software systems,4.6,Code Masters,"Austin, TX","Austin, TX","500-1,000",1976,Public,Technology,Technology,$300M,"DevSoft, CodeTech"
Data Scientist,$77000 - $99000,Manage human resources and employee relations,3.9,People Solutions,"Miami, FL","Miami, FL",200-500,2012,Private,Retail,Services,$150M,"Workplace Solutions, HR Hub"
Marketing Manager,$73000 - $248000,Manage human resources and employee relations,4.9,People Solutions,"Miami, FL","Miami, FL",200-500,2015,Private,Finance,Services,$150M,"Workplace Solutions, HR Hub"
Operations Manager,$82000 - $159000,Analyze business processes and provide solutions,4.2,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",2014,Public,Consulting,Professional Services,$400M,"ConsultMaster, BizExperts"
Data Scientist,$111000 - $248000,Develop and maintain software systems,4.1,Code Masters,"Austin, TX","Austin, TX","500-1,000",1984,Public,Education,Technology,$300M,"DevSoft, CodeTech"
Product Manager,$81000 - $146000,Lead and manage projects to successful completion,3.3,Project Leads,"Denver, CO","Denver, CO","500-1,000",1972,Private,Retail,Services,$300M,"TeamPro, ProjectSolutions"
Data Analyst,$194000 - $122000,Oversee product development from ideation to launch,4.6,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",2013,Public,Education,Consumer Goods,$1B+,"InnovationHub, MarketPro"
Project Manager,$69000 - $226000,Conduct financial analysis to support decision making,3.3,Finance Pros,"Boston, MA","Boston, MA","1,000-5,000",2006,Public,Retail,Financial,$500M,"MoneyWorks, CapitalInsights"
Financial Analyst,$164000 - $187000,Lead marketing campaigns and strategies,3.2,Market Leaders,"Chicago, IL","Chicago, IL",200-500,1988,Private,Software,Services,$100M,"AdFocus, BrandBoost"
Operations Manager,$190000 - $206000,Conduct financial analysis to support decision making,4.5,Finance Pros,"Boston, MA","Boston, MA","1,000-5,000",1980,Public,Software,Financial,$500M,"MoneyWorks, CapitalInsights"
Software Engineer,$161000 - $125000,Biology expert to teach students,4.4,bio,"Miami, FL","Miami, FL",200-500,1986,Private,Marketing,Services,$15M,"Chaithanya,narayana"
Product Manager,$85000 - $212000,Biology expert to teach students,4.8,bio,"Miami, FL","Miami, FL",200-500,1984,Private,Consulting,Services,$15M,"Chaithanya,narayana"
